,a,b,exact,sma,ama1,ama2,axa2,axa3
119,5,71,76,140,184,10,189,12
120,5,73,78,146,182,10,179,2
121,5,79,84,148,176,10,181,20
122,5,83,88,168,168,10,169,8
123,5,89,94,162,166,10,163,2
124,5,97,102,130,158,10,155,2
125,5,101,106,138,154,10,159,10
126,5,103,108,140,152,10,157,12
127,5,107,112,144,144,10,145,16
128,5,109,114,146,146,10,151,18
129,5,113,118,130,142,10,139,2
130,5,121,126,130,134,10,131,2
131,5,127,132,132,128,10,133,132
132,7,1,8,8,248,8,249,8
133,7,2,9,8,249,10,250,8
134,7,3,10,10,248,10,251,10
135,7,5,12,12,248,12,253,12
136,7,7,14,14,248,14,255,14
137,7,11,18,18,240,10,243,18
138,7,13,20,20,240,12,245,20
139,7,17,24,40,232,8,233,8
140,7,19,26,42,232,10,235,10
141,7,23,30,46,232,14,239,14
142,7,29,36,36,224,12,229,36
143,7,31,38,38,224,14,231,38
144,7,37,44,76,216,12,221,12
145,7,41,48,80,208,8,209,16
146,7,43,50,82,208,10,211,18
147,7,47,54,86,208,14,215,22
148,7,53,60,76,200,12,205,12
149,7,59,66,66,192,10,195,66
150,7,61,68,68,192,12,197,68
151,7,67,74,138,184,10,187,10
152,7,71,78,142,184,14,191,14
153,7,73,80,144,176,8,177,16
154,7,79,86,150,176,14,183,22
155,7,83,90,170,168,10,171,10
156,7,89,96,160,160,8,161,32
157,7,97,104,136,152,8,153,8
158,7,101,108,140,152,12,157,12
159,7,103,110,142,152,14,159,14
160,7,107,114,146,144,10,147,18
161,7,109,116,148,144,12,149,20
162,7,113,120,136,136,8,137,8
163,7,121,128,128,128,8,129,128
164,7,127,134,134,128,14,135,134
165,11,1,12,4,252,20,245,4
166,11,2,13,4,253,22,246,4
167,11,3,14,6,252,22,247,6
168,11,5,16,16,240,20,241,16
169,11,7,18,18,240,22,243,18
170,11,11,22,22,244,22,255,22
171,11,13,24,24,240,20,249,24
172,11,17,28,36,236,20,229,4
173,11,19,30,38,236,22,231,6
174,11,23,34,34,224,22,227,34
175,11,29,40,40,224,20,233,40
176,11,31,42,42,224,22,235,42
177,11,37,48,80,208,20,209,16
178,11,41,52,84,212,20,221,20
179,11,43,54,86,212,22,223,22
180,11,47,58,90,208,22,219,26
181,11,53,64,64,192,20,193,64
182,11,59,70,70,196,22,207,70
183,11,61,72,72,192,20,201,72
184,11,67,78,134,188,22,183,6
185,11,71,82,146,176,22,179,18
186,11,73,84,148,180,20,189,20
187,11,79,90,154,176,22,187,26
188,11,83,94,166,172,22,167,6
189,11,89,100,164,164,20,173,36
190,11,97,108,132,156,20,149,4
191,11,101,112,144,144,20,145,16
192,11,103,114,146,144,22,147,18
193,11,107,118,150,148,22,159,22
194,11,109,120,152,144,20,153,24
195,11,113,124,132,140,20,133,4
196,11,121,132,132,132,20,141,132
197,11,127,138,138,128,22,139,138
198,13,1,14,2,254,18,243,2
199,13,2,15,16,241,18,240,0
200,13,3,16,16,240,18,241,16
201,13,5,18,18,242,18,247,18
202,13,7,20,20,240,18,245,20
203,13,11,24,24,240,26,249,24
204,13,13,26,26,242,26,255,26
205,13,17,30,34,238,18,227,2
206,13,19,32,32,224,18,225,32
207,13,23,36,36,224,18,229,36
208,13,29,42,42,226,26,239,42
209,13,31,44,44,224,26,237,44
210,13,37,50,82,210,18,215,18
211,13,41,54,82,214,26,219,18
212,13,43,56,88,208,26,217,24
213,13,47,60,92,208,26,221,28
214,13,53,66,66,194,18,199,66
215,13,59,72,72,192,26,201,72
216,13,61,74,74,194,26,207,74
217,13,67,80,144,176,18,177,16
218,13,71,84,148,176,18,181,20
219,13,73,86,146,182,26,187,18
220,13,79,92,156,176,26,189,28
221,13,83,96,160,160,18,161,32
222,13,89,102,162,166,26,171,34
223,13,97,110,130,158,18,147,2
224,13,101,114,146,146,18,151,18
225,13,103,116,148,144,18,149,20
226,13,107,120,152,144,26,153,24
227,13,109,122,154,146,26,159,26
228,13,113,126,130,142,18,131,2
229,13,121,134,130,134,26,139,130
230,13,127,140,140,128,26,141,140
231,17,1,18,2,254,34,239,2
232,17,2,19,4,253,34,236,0
233,17,3,20,4,252,34,237,4
234,17,5,22,10,250,34,235,2
235,17,7,24,8,248,34,233,8
236,17,11,28,36,228,34,229,4
237,17,13,30,34,226,34,227,2
238,17,17,34,34,238,34,255,34
239,17,19,36,36,236,34,253,36
240,17,23,40,40,232,34,249,40
241,17,29,46,50,226,34,243,34
242,17,31,48,48,224,34,241,48
243,17,37,54,74,218,34,203,2
244,17,41,58,66,198,34,199,2
245,17,43,60,68,196,34,197,4
246,17,47,64,64,192,34,193,64
247,17,53,70,74,202,34,219,66
248,17,59,76,84,196,34,213,68
249,17,61,78,82,194,34,211,66
250,17,67,84,132,188,34,173,4
251,17,71,88,136,184,34,169,8
252,17,73,90,162,166,34,167,2
253,17,79,96,160,160,34,161,32
254,17,83,100,164,172,34,189,36
255,17,89,106,178,166,34,183,34
256,17,97,114,130,158,34,143,2
257,17,101,118,138,154,34,139,2
258,17,103,120,136,152,34,137,8
259,17,107,124,132,132,34,133,4
260,17,109,126,130,130,34,131,2
261,17,113,130,130,142,34,159,130
262,17,121,138,146,134,34,151,130
263,17,127,144,144,128,34,145,144
264,19,1,20,4,252,36,237,4
265,19,2,21,4,253,38,238,4
266,19,3,22,6,252,38,239,6
267,19,5,24,8,248,36,233,8
268,19,7,26,10,248,38,235,10
269,19,11,30,38,228,38,231,6
270,19,13,32,32,224,36,225,32
271,19,17,36,36,236,36,253,36
272,19,19,38,38,236,38,255,38
273,19,23,42,42,232,38,251,42
274,19,29,48,48,224,36,241,48
275,19,31,50,50,224,38,243,50
276,19,37,56,72,216,36,201,8
277,19,41,60,68,196,36,197,4
278,19,43,62,70,196,38,199,6
279,19,47,66,66,192,38,195,66
280,19,53,72,72,200,36,217,72
281,19,59,78,86,196,38,215,70
282,19,61,80,80,192,36,209,80
283,19,67,86,134,188,38,175,6
284,19,71,90,138,184,38,171,10
285,19,73,92,164,164,36,165,4
286,19,79,98,162,160,38,163,34
287,19,83,102,166,172,38,191,38
288,19,89,108,180,164,36,181,36
289,19,97,116,132,156,36,141,4
290,19,101,120,136,152,36,137,8
291,19,103,122,138,152,38,139,10
292,19,107,126,134,132,38,135,6
293,19,109,128,128,128,36,129,128
294,19,113,132,132,140,36,157,132
295,19,121,140,148,132,36,149,132
296,19,127,146,146,128,38,147,146
297,23,1,24,8,248,40,233,8
298,23,2,25,8,249,42,234,8
299,23,3,26,10,248,42,235,10
300,23,5,28,12,248,44,237,12
301,23,7,30,14,248,46,239,14
302,23,11,34,34,224,42,227,34
303,23,13,36,36,224,44,229,36
304,23,17,40,40,232,40,249,40
305,23,19,42,42,232,42,251,42
306,23,23,46,46,232,46,255,46
307,23,29,52,52,224,44,245,52
308,23,31,54,54,224,46,247,54
309,23,37,60,76,216,44,205,12
310,23,41,64,64,192,40,193,64
311,23,43,66,66,192,42,195,66
312,23,47,70,70,192,46,199,70
313,23,53,76,76,200,44,221,76
314,23,59,82,82,192,42,211,82
315,23,61,84,84,192,44,213,84
316,23,67,90,138,184,42,171,10
317,23,71,94,142,184,46,175,14
318,23,73,96,160,160,40,161,32
319,23,79,102,166,160,46,167,38
320,23,83,106,170,168,42,187,42
321,23,89,112,176,160,40,177,48
322,23,97,120,136,152,40,137,8
323,23,101,124,140,152,44,141,12
324,23,103,126,142,152,46,143,14
325,23,107,130,130,128,42,131,130
326,23,109,132,132,128,44,133,132
327,23,113,136,136,136,40,153,136
328,23,121,144,144,128,40,145,144
329,23,127,150,150,128,46,151,150
330,29,1,30,2,254,34,227,2
331,29,2,31,32,225,34,224,0
332,29,3,32,32,224,34,225,32
333,29,5,34,34,226,34,231,34
334,29,7,36,36,224,34,229,36
335,29,11,40,40,224,42,233,40
336,29,13,42,42,226,42,239,42
337,29,17,46,34,238,50,243,34
338,29,19,48,48,224,50,241,48
339,29,23,52,52,224,50,245,52
340,29,29,58,58,226,58,255,58
341,29,31,60,60,224,58,253,60
342,29,37,66,66,194,34,199,66
343,29,41,70,66,198,42,203,66
344,29,43,72,72,192,42,201,72
345,29,47,76,76,192,42,205,76
346,29,53,82,82,194,50,215,82
347,29,59,88,88,192,58,217,88
348,29,61,90,90,194,58,223,90
349,29,67,96,160,160,34,161,32
350,29,71,100,164,160,34,165,36
351,29,73,102,162,166,42,171,34
352,29,79,108,172,160,42,173,44
353,29,83,112,176,160,50,177,48
354,29,89,118,178,166,58,187,50
355,29,97,126,130,158,34,131,2
356,29,101,130,130,130,34,135,130
357,29,103,132,132,128,34,133,132
358,29,107,136,136,128,42,137,136
359,29,109,138,138,130,42,143,138
360,29,113,142,130,142,50,147,130
361,29,121,150,146,134,58,155,146
362,29,127,156,156,128,58,157,156
363,31,1,32,32,224,32,225,32
364,31,2,33,32,225,34,226,32
365,31,3,34,34,224,34,227,34
366,31,5,36,36,224,36,229,36
367,31,7,38,38,224,38,231,38
368,31,11,42,42,224,42,235,42
369,31,13,44,44,224,44,237,44
370,31,17,48,48,224,48,241,48
371,31,19,50,50,224,50,243,50
372,31,23,54,54,224,54,247,54
373,31,29,60,60,224,60,253,60
374,31,31,62,62,224,62,255,62
375,31,37,68,68,192,36,197,68
376,31,41,72,72,192,40,201,72
377,31,43,74,74,192,42,203,74
378,31,47,78,78,192,46,207,78
379,31,53,84,84,192,52,213,84
380,31,59,90,90,192,58,219,90
381,31,61,92,92,192,60,221,92
382,31,67,98,162,160,34,163,34
383,31,71,102,166,160,38,167,38
384,31,73,104,168,160,40,169,40
385,31,79,110,174,160,46,175,46
386,31,83,114,178,160,50,179,50
387,31,89,120,184,160,56,185,56
388,31,97,128,128,128,32,129,128
389,31,101,132,132,128,36,133,132
390,31,103,134,134,128,38,135,134
391,31,107,138,138,128,42,139,138
392,31,109,140,140,128,44,141,140
393,31,113,144,144,128,48,145,144
394,31,121,152,152,128,56,153,152
395,31,127,158,158,128,62,159,158
396,37,1,38,2,254,74,219,2
397,37,2,39,8,249,74,216,0
398,37,3,40,8,248,74,217,8
399,37,5,42,10,250,74,223,10
400,37,7,44,12,248,74,221,12
401,37,11,48,16,240,74,209,16
402,37,13,50,18,242,74,215,18
403,37,17,54,66,206,74,203,2
404,37,19,56,72,200,74,201,8
405,37,23,60,76,200,74,205,12
406,37,29,66,66,194,74,199,66
407,37,31,68,68,192,74,197,68
408,37,37,74,74,218,74,255,74
409,37,41,78,82,214,74,243,66
410,37,43,80,80,208,74,241,80
411,37,47,84,84,208,74,245,84
412,37,53,90,106,202,74,239,74
413,37,59,96,96,192,74,225,96
414,37,61,98,98,194,74,231,98
415,37,67,104,136,184,74,153,8
416,37,71,108,140,184,74,157,12
417,37,73,110,146,182,74,147,2
418,37,79,116,148,176,74,149,20
419,37,83,120,136,136,74,137,8
420,37,89,126,130,134,74,131,2
421,37,97,134,130,158,74,187,130
422,37,101,138,138,154,74,191,138
423,37,103,140,140,152,74,189,140
424,37,107,144,144,144,74,177,144
425,37,109,146,146,146,74,183,146
426,37,113,150,162,142,74,171,130
427,37,121,158,162,134,74,163,130
428,37,127,164,164,128,74,165,164
429,41,1,42,2,254,82,215,2
430,41,2,43,4,253,82,212,0
431,41,3,44,4,252,82,213,4
432,41,5,46,18,242,82,211,2
433,41,7,48,16,240,82,209,16
434,41,11,52,20,244,82,221,20
435,41,13,54,26,242,82,219,18
436,41,17,58,66,206,82,199,2
437,41,19,60,68,204,82,197,4
438,41,23,64,64,192,82,193,64
